'Fraction Of Low Energy Windows Overall Standard Deviation','LPC Overall Standard Deviation2','Compactness Overall Average','Fraction Of Low Energy Windows Overall Average','Zero Crossings Overall Average','LPC Overall Average1','LPC Overall Average2','LPC Overall Average6','Method of Moments Overall Average1','Method of Moments Overall Average2','Area Method of Moments of MFCCs Overall Average0','Area Method of Moments of MFCCs Overall Average1','Area Method of Moments of MFCCs Overall Average6',Arousal_Mean
-0.306957,0.31418,0.27349,0.481751,0.058607,-0.97536,0.574626,-1.869481,0.476043,0.973486,0.109244,-1.454393,-1.043931,-0.150233
-0.051672,0.760607,-0.752899,1.987161,-0.297221,0.020766,-0.16016,-0.061283,-0.192839,-0.101312,1.672835,-1.453489,-1.043931,0.280864
-0.957724,0.703284,-0.448366,0.096381,0.909328,-0.413252,-0.913558,0.082298,0.633246,0.632956,0.641316,-1.452585,-1.043931,0.042367
-1.234457,-1.120639,2.258594,-0.575644,-0.213782,0.103809,0.634409,-0.996885,-0.161398,-0.004018,1.300384,-1.451681,-1.043931,0.392391
-0.230581,1.418956,-0.40325,2.00045,-0.161247,0.332961,-1.070794,-0.270678,-0.227978,-0.35975,0.712092,-1.450777,-1.043931,-0.162197
-0.261445,0.321128,-0.29046,-0.852806,0.10143,0.015282,-0.17405,0.366634,0.476043,0.424685,0.87322,-1.449871,-1.043931,0.117212
-1.043516,-1.322139,-0.752899,-0.345941,0.700069,-0.780679,-1.12691,0.542729,1.053687,0.811582,1.051916,-1.448969,-1.043931,0.539811
-0.261968,-0.33201,-0.076159,2.226356,0.247117,-1.197462,0.544846,-0.588153,0.757775,1.329979,0.49073,-1.448065,-1.043931,0.075203
2.094707,-0.198255,0.217095,1.015194,1.568007,1.401554,-2.648153,0.838171,0.286167,-0.994444,0.840091,-1.447161,-1.04393,-0.026169
2.915489,0.051883,0.307327,-0.94203,-0.263669,0.027425,0.917878,-1.639872,-0.067077,0.218695,0.849628,-1.446257,-1.04393,0.003022
0.355318,-0.837497,-0.775457,-0.495912,-0.034985,-0.168823,-1.254699,1.187937,0.457549,0.224776,1.252698,-1.445353,-1.04393,0.367636
0.514871,-0.755855,0.093026,0.257742,2.44963,0.407778,-1.179137,-0.042502,1.53146,0.272663,0.945501,-1.444448,-1.04393,0.589023
0.010056,-0.323324,0.081747,0.018547,-0.735604,0.15669,0.474562,0.424592,-0.456693,-0.135517,0.465632,-1.443544,-1.04393,-0.22628
-0.955108,-0.679424,-0.730341,1.21832,-0.023948,0.698821,-1.263588,0.221639,-0.151535,-0.434241,1.456994,-1.44264,-1.04393,-0.173261
-0.570089,-1.162329,-0.775457,1.094925,-0.101648,0.316901,-1.263588,-2.488437,-0.069543,-0.132477,1.267255,-1.441736,-1.04393,0.305721
-0.53347,-1.073738,-0.662667,-0.509201,0.049336,0.403861,-0.959118,-1.966616,0.143143,-0.075468,2.739992,-1.440832,-1.043929,0.414154
0.238662,0.588637,-0.200228,-0.456046,-0.479991,0.47672,0.448004,-0.403132,-0.407991,-0.205447,0.525867,-1.439928,-1.043929,-0.27196
-0.797648,-0.707217,-0.685225,-0.998981,-0.03631,1.087009,-2.215337,0.363201,-0.379016,-1.133544,1.93335,-1.439024,-1.043929,0.037228
-1.441614,2.025194,-1.001037,0.077397,-0.169635,0.046619,-0.255168,0.663087,-0.006045,0.052991,0.330104,-1.43812,-1.043929,0.182534
-0.484819,0.295072,-0.798015,-0.492115,-0.425248,0.045444,-1.483607,2.164331,-0.183592,-0.258655,1.080527,-1.437216,-1.043928,0.018036
-0.448724,-0.561303,-0.459645,2.008043,0.277578,0.330219,-2.153665,0.59483,0.090126,-0.15604,0.841095,-1.436312,-1.043928,0.007899
0.4929,0.159581,0.532907,0.259641,-0.311789,1.021984,0.105419,-2.54902,-0.482585,-0.596145,1.259224,-1.435408,-1.043928,-0.03454
0.454189,0.196059,0.375001,1.210726,-1.431809,0.145331,0.968494,0.586954,-1.515808,-1.098579,-0.799296,-1.434504,-1.043927,-0.252903
0.691164,-0.028023,0.735929,0.990515,-1.036248,-0.208778,0.208094,0.240622,-0.92337,-0.515573,0.360221,-1.4336,-1.043927,-0.259188
-0.25883,-0.170462,-0.076159,-1.486863,-0.323709,-0.136311,-0.281837,-1.934305,-0.076324,0.138883,1.973004,-1.432696,-1.043927,0.013501
-0.32422,-0.085346,0.228374,0.312795,0.004747,0.740734,-0.514635,-0.601481,-0.307505,-0.400036,0.420456,-1.431791,-1.043926,-0.072462
0.88629,1.714258,0.228374,0.265336,-1.091874,0.142197,-0.149048,-0.598048,-0.895628,-0.645552,0.510808,-1.430887,-1.043926,-0.227082
-0.072074,0.126577,0.465233,-0.435164,-0.023065,1.199822,-1.66529,0.501936,-0.517725,-1.144186,0.104224,-1.429983,-1.043926,0.222889
-0.352992,-0.224311,0.465233,-0.319363,1.045743,0.343929,-0.851886,0.38703,0.456933,0.04919,1.387222,-1.429079,-1.043925,0.277459
1.118034,0.953422,0.623139,-0.034607,-0.562988,-0.092831,-0.376289,-1.670567,-0.406758,-0.005538,0.656375,-1.428175,-1.043925,-0.280422
-0.360839,-0.408441,-0.256623,-1.486863,0.408255,0.687853,-1.018012,-2.357174,0.175817,-0.263976,2.325377,-1.427271,-1.043924,0.315368
-1.070719,-1.131062,0.61186,0.766507,-0.129019,0.215055,-0.591308,-0.264478,-0.06831,-0.095991,0.515827,-1.426367,-1.043924,0.079017
0.219306,0.359344,0.126863,-0.042201,1.684556,1.092101,-0.968563,-0.339722,0.619684,-0.478328,0.545945,-1.425463,-1.043923,0.232229
-1.2015,-0.670738,-0.696504,0.760811,-0.178464,-0.261659,0.380609,-0.909444,0.076563,0.418605,0.905345,-1.424559,-1.043922,-0.160779
0.665531,-0.008915,-0.324297,0.508328,0.666958,-0.009788,-0.852442,1.002351,0.680099,0.345634,0.621238,-1.423655,-1.043922,0.336037
-0.315327,-0.70548,-0.673946,-0.175087,0.70625,-0.403851,-0.596308,0.467404,0.913129,0.691485,0.830554,-1.422751,-1.043921,0.489031
-0.667913,-1.009467,1.796155,-0.082067,-0.336512,0.333353,0.143756,1.062126,-0.343877,-0.273097,0.730162,-1.421847,-1.04392,-0.084847
-0.335729,1.722943,0.397559,0.067905,0.234314,1.069382,-2.278121,1.563147,-0.568276,-1.395023,-2.656531,-1.420943,-1.04392,-0.354371
-0.144788,-0.359803,-0.143833,-0.306075,-0.276471,-0.068545,-0.531858,1.276993,0.136979,0.271903,1.055932,-1.420024,-1.043919,0.033059
-0.127525,0.211693,-0.40325,-2.81003,-0.12637,0.472019,0.284157,-1.528601,0.050055,0.043869,2.684777,-1.41912,-1.043918,0.203585
-0.430414,-1.033786,-0.279181,-0.226343,1.343296,-0.797914,-0.004035,0.796167,1.344666,1.116387,1.750638,-1.418216,-1.043917,0.582688
0.482961,0.467042,1.243484,0.208385,-0.41068,0.294573,0.200483,-1.113407,-0.359905,-0.216849,1.004732,-1.417312,-1.043917,0.325799
0.954819,1.401586,-0.798015,1.25249,0.133658,0.328261,0.195705,0.144699,-0.128108,-0.28906,-1.692777,-1.416408,-1.043916,-0.249043
0.552536,1.302573,-1.508592,-0.395298,-1.609723,0.69177,0.503509,1.341009,-1.660065,-1.53762,1.498154,-1.415504,-1.043915,-0.132485
-0.611415,-0.014126,0.104305,0.035633,0.255946,-0.108108,0.476895,-2.702497,0.423026,0.436087,1.903232,-1.4146,-1.043914,-0.009512
1.843607,0.256857,-0.143833,0.102076,-1.121453,-0.017622,1.630551,1.019314,-0.881449,-0.317184,-0.52322,-1.413696,-1.043913,-0.334306
1.463296,-0.094031,0.126863,-0.178884,1.223657,-0.68706,-0.752989,-2.244086,1.38597,1.020613,0.355202,-1.412792,-1.043912,0.249571
0.422802,0.421878,-1.181501,0.244454,-0.044256,-0.92718,0.656689,0.550604,0.406998,0.737852,0.661395,-1.411888,-1.043911,0.32201
-0.471741,-0.526562,-0.267902,-1.991831,0.239612,-0.302789,-0.567417,-1.803446,0.353364,0.460411,2.074399,-1.410983,-1.04391,0.303572
1.051597,0.776241,0.600581,-1.633038,-0.988128,-0.198202,3.231801,-0.907223,-0.637322,0.420125,0.169478,-1.410079,-1.043909,-0.34871
-0.098754,-0.557829,-0.391971,2.108657,1.915005,-0.047001,-1.033569,-0.234571,1.470428,0.507538,-0.151773,-1.409175,-1.043908,0.391532
1.446556,-0.238208,-0.301739,1.13669,1.389651,-0.240507,-1.039125,0.325034,1.152324,0.708207,1.052418,-1.408271,-1.043907,0.511763
0.521672,-1.363829,-0.448366,-0.102949,0.392362,-0.955775,0.289101,-0.28649,0.837918,1.055578,0.616219,-1.407367,-1.043905,0.569175
-0.586305,-0.337221,-0.74162,1.201234,1.01175,-1.971682,0.667968,-0.691547,1.44022,1.794407,0.730162,-1.406463,-1.043904,0.268248
-0.489527,0.743236,-0.876968,-1.112884,-0.582854,1.121088,-1.782522,0.306859,-0.829664,-1.246041,2.076407,-1.405559,-1.043903,0.095703
0.19315,-0.611678,-0.62883,1.823901,-0.432753,-0.70782,-0.051261,0.54596,0.138828,0.544023,1.666309,-1.404655,-1.043901,0.377469
-0.30068,-1.342984,-0.425808,1.692913,-0.35991,0.474761,-1.89531,0.327861,-0.287161,-0.429681,0.969093,-1.403751,-1.0439,-0.169439
0.299867,-0.13051,0.352443,0.713352,-0.962963,-0.235023,0.41039,-0.12544,-0.568893,-0.023021,-0.016245,-1.402847,-1.043899,-0.127785
-1.018929,1.003797,-1.350686,1.051263,0.198555,-1.698423,0.464228,0.789301,0.744829,1.244846,-1.040235,-1.401943,-1.043897,-0.076055
-0.511499,-0.34938,-0.764178,-0.993286,0.40693,0.345496,-0.371289,0.010407,0.347815,0.075794,2.397659,-1.401039,-1.043896,0.354063
1.859301,-0.279898,-0.391971,2.063096,0.40693,-0.587565,0.148756,0.633401,0.75346,0.816143,0.84762,-1.400135,-1.043894,0.420985
-0.141127,-0.83576,2.224757,0.276726,-0.841117,0.36234,0.464394,1.255588,-0.726712,-0.488209,-0.854511,-1.399231,-1.043892,-0.394013
-1.127216,-0.538721,-0.538598,-0.520591,0.193698,-1.50382,1.014053,0.007579,0.842233,1.340621,-0.422829,-1.398326,-1.043891,0.420302
0.701627,-1.739036,0.938951,0.405816,1.017047,0.727024,-0.923559,-1.025157,0.311443,-0.469967,0.811981,-1.397422,-1.043889,0.128355
-0.096138,-0.102717,-0.425808,-0.792058,0.297003,0.358031,-0.516302,-1.470038,0.15424,-0.012379,0.736688,-1.396518,-1.043887,0.032243
0.557244,1.533603,1.40139,1.074043,-0.644661,1.004357,0.820036,0.007579,-0.912889,-0.945037,-2.455749,-1.395614,-1.043886,-0.195583
-1.069149,-0.028023,-0.031043,-1.050237,-0.067654,0.795182,-2.404798,-0.51202,-0.312436,-0.945797,1.268259,-1.39471,-1.043884,0.340816
-0.291263,0.837038,-1.316849,-1.147054,-1.340424,0.580524,-0.641868,1.193389,-1.079339,-1.056013,2.046792,-1.393806,-1.043882,0.28103
-0.503129,-0.352855,-0.245344,-0.363026,0.158822,0.192728,-1.113575,0.421967,0.209107,-0.069387,1.785273,-1.392902,-1.04388,0.421213
2.612077,0.279439,-0.369413,0.240657,0.481539,-0.12926,-1.203583,0.011618,0.50995,0.313709,1.086049,-1.391998,-1.043878,0.369119
-0.344099,1.052435,0.735929,0.310897,0.132775,0.565247,-0.305728,-1.317773,0.027245,-0.129436,0.891792,-1.391094,-1.043876,0.000625
0.077016,0.208219,-0.391971,-0.484522,0.372937,0.550753,-1.201361,0.683281,0.059918,-0.390915,1.972,-1.39019,-1.043874,0.273826
2.336914,0.241223,0.059189,2.083978,1.927808,-0.412861,-0.411848,-1.232553,1.596807,0.807022,-0.30236,-1.389286,-1.043872,-0.049431
0.111542,1.116706,0.476512,-1.574189,-0.638922,0.85629,0.074861,-0.119867,-0.743973,-0.808216,1.76921,-1.388382,-1.04387,0.023191
-0.727549,0.607745,-0.335576,-0.879384,-0.358144,1.192379,-1.636954,-0.720425,-0.79884,-1.023328,2.409705,-1.387478,-1.043867,-0.173156
0.057138,-1.26829,-0.448366,-0.814839,0.662544,1.486556,-2.628707,-0.292387,-0.375317,-1.60641,-1.697796,-1.386574,-1.043865,0.102395
-0.661112,-0.425812,0.115584,0.468462,1.159202,-0.005479,-0.621866,0.472048,1.060468,0.509058,1.36865,-1.385669,-1.043863,0.362849
-0.876116,-1.501058,-0.640109,0.84434,-0.007172,0.187636,-1.653067,-0.466017,-0.072625,-0.240413,1.547848,-1.384765,-1.04386,0.250551
-0.047487,0.71718,1.390111,0.586161,-0.269408,0.208788,-0.528525,0.042314,-0.211333,-0.191005,-0.061421,-1.383861,-1.043858,0.143379
0.720982,-0.191307,-0.448366,-0.585136,1.832891,0.047402,-0.369622,-0.680239,1.382271,0.561506,1.160338,-1.382957,-1.043855,0.648484
-0.348807,0.7884,-0.279181,-0.666766,-0.455268,-0.472401,0.452227,-0.522319,0.045739,0.555425,1.323976,-1.382053,-1.043853,-0.018377
-0.819619,1.427642,0.205816,-0.125729,-0.32989,0.949909,-0.331286,0.886032,-0.60958,-0.824939,-1.778109,-1.381149,-1.04385,-0.11476
-1.215624,0.095309,-1.158943,1.030381,-0.237622,-0.267143,-0.430183,-1.004155,-0.023923,0.2529,0.59614,-1.380245,-1.043847,-0.057793
0.260633,-1.134536,0.059189,-0.429469,1.828476,1.452477,-2.942067,-0.1794,0.106771,-1.217157,0.174498,-1.379341,-1.043845,-0.052426
1.062583,0.182163,1.536738,0.563381,-0.006731,0.377225,0.287712,0.14167,-0.097284,-0.202407,-0.734042,-1.378437,-1.043842,-0.133989
0.351657,1.391163,0.352443,-0.501607,0.471385,-0.607542,0.871874,-0.491018,1.130747,1.162754,-2.280065,-1.377533,-1.043839,-0.389515
-0.389088,0.164792,0.059189,-1.834266,0.129243,0.497481,-0.351843,-1.425611,-0.010977,-0.114994,2.107026,-1.376629,-1.043836,0.278615
-0.406874,-0.658579,-0.087438,-0.08966,1.021021,-0.71448,-1.607507,-1.345843,0.890319,0.648919,0.886773,-1.375725,-1.043833,0.337033
0.548351,0.625116,0.002794,0.536803,-0.229675,1.468929,-0.68076,-1.325043,-0.73411,-1.127463,1.264745,-1.374821,-1.04383,-0.075329
-0.203902,1.318206,0.036631,0.033734,-0.521931,0.585616,-0.040149,-0.156358,-0.753837,-0.662275,1.300886,-1.373917,-1.043827,-0.040653
-0.548117,0.105732,0.95023,-0.632595,-0.441583,0.802625,-0.02237,1.027594,-0.555947,-0.529255,0.550964,-1.373012,-1.043824,0.080198
-1.150757,0.856146,3.284983,0.802576,-0.751056,1.866909,0.997329,1.107159,-1.544783,-1.98867,-2.320221,-1.372108,-1.043821,-0.471208
-0.394319,0.920417,1.863829,-0.727514,-1.0517,1.712183,1.002163,0.058267,-1.765483,-1.999692,-0.101578,-1.371204,-1.043817,-0.317111
-0.706101,1.172292,-0.256623,0.897494,-0.689691,0.563288,1.374418,-0.979114,-0.967756,-0.645552,-0.332477,-1.3703,-1.043814,-0.096438
2.04658,0.969055,0.769766,0.589958,-1.37839,0.485729,0.504731,-0.250605,-1.325315,-1.043091,-2.280065,-1.369396,-1.04381,-0.223966
1.309497,1.042012,-0.764178,0.498836,-0.490145,-0.170782,0.209428,0.098858,-0.438199,-0.206208,0.174498,-1.368492,-1.043807,0.320742
0.434833,-0.43276,-0.933363,-0.594628,-0.996516,1.276206,0.903266,1.368676,-1.005362,-1.081097,0.054028,-1.367588,-1.043803,-0.366011
0.799974,0.916943,0.205816,0.364051,0.160146,0.396027,-0.936338,-0.697808,-0.054747,-0.35519,-0.036324,-1.366684,-1.0438,0.040755
0.793697,1.905336,0.61186,0.544397,0.292147,0.820644,-0.219054,1.877572,-0.126875,-0.584743,-2.415593,-1.36578,-1.043796,-0.111316
-1.519559,-0.08882,-0.538598,0.128653,0.543787,-1.488426,0.093751,-0.245334,0.991422,1.469079,0.964074,-1.364876,-1.043792,0.466736
-0.927906,0.31418,2.30371,-0.606018,-0.681745,1.484989,-0.867443,2.285497,-1.097834,-1.47149,-3.504836,-1.363972,-1.043788,-0.195375
0.528473,2.146788,0.104305,-0.028912,-1.083927,1.378443,0.326605,0.283838,-1.533686,-1.721795,-0.322438,-1.363068,-1.043784,-0.090353
0.441111,-0.182622,1.548017,-1.196412,-0.995191,1.266805,-1.171358,-0.9672,-1.392512,-1.560043,0.727653,-1.362164,-1.04378,0.01082
-0.156297,-0.095768,2.484174,0.396324,-0.490586,1.493607,-1.005233,0.966001,-1.004129,-1.452715,0.003833,-1.36126,-1.043776,-0.008184
0.035689,-0.573462,3.138356,-0.454148,-0.346224,1.105419,-1.93698,0.92642,-0.69034,-1.217157,-1.53717,-1.360355,-1.043772,-0.17758
0.935987,-1.20923,2.371384,0.390629,0.201645,0.705872,-0.859109,1.251347,-0.182359,-0.460085,-0.372634,-1.359451,-1.043768,-0.352588
0.873735,1.841064,2.427779,0.039429,-0.608018,1.573124,-0.301839,-0.185357,-1.312369,-1.615151,-1.055293,-1.358547,-1.043764,-0.295721
0.279465,0.434038,1.536738,1.512568,-0.975766,1.825388,2.148373,-0.015038,-1.800623,-2.015426,-2.475827,-1.357643,-1.043759,-0.563005
-0.271385,-0.783648,0.72465,-0.118136,1.417023,-0.220529,-0.390735,-0.840783,1.035192,0.695285,0.947007,-1.356739,-1.043755,-0.002789
0.122005,0.781452,-0.267902,0.212181,-0.964288,1.236643,-0.036816,-0.92984,-1.480052,-1.504631,-1.135606,-1.355835,-1.043751,-0.154876
0.039874,-1.075476,3.454168,-0.979997,2.145013,1.253878,-0.574084,-0.372114,0.991422,-0.606027,-1.753011,-1.354931,-1.043746,0.038615
-0.24209,1.469331,1.187089,0.631722,-1.126309,1.205306,0.820259,0.223255,-1.396211,-1.327373,-0.764159,-1.354027,-1.043741,-0.393949
-0.528762,-0.127036,-0.256623,-1.042644,-0.453944,0.608727,0.618852,-0.211428,-0.335863,-0.282979,0.084146,-1.353123,-1.043737,-0.093362
0.856995,1.255672,2.427779,0.63362,-0.834053,1.849674,1.063446,0.695801,-1.644036,-2.004633,-1.256075,-1.352219,-1.043732,-0.056513
-0.097707,0.571266,1.051741,-0.655376,-0.304284,1.106203,-0.562417,-0.218173,-0.893778,-0.989883,0.069087,-1.3513,-1.043727,-0.103038
-0.507314,-0.045393,-0.098717,-0.845213,-0.781076,1.058414,1.538876,-0.680643,-1.06701,-0.865985,0.028931,-1.350396,-1.043722,-0.271742
-0.057427,-0.566514,-0.358134,-0.209258,0.86209,-0.160206,-0.163493,0.205887,0.844083,0.568347,0.365241,-1.349492,-1.043718,0.40022
0.113112,0.352396,2.224757,-0.385806,0.987468,0.775988,-1.474162,2.24107,-0.034403,-0.675957,-1.938735,-1.348588,-1.043711,-0.265286
0.888905,1.848012,1.51418,0.314694,-0.608901,1.852808,0.646688,0.480732,-1.4332,-1.904754,-3.238799,-1.347684,-1.043707,-0.445386
-0.785616,0.52784,-1.034874,0.223572,-1.468893,1.189246,1.190846,-1.061103,-1.761168,-1.638791,-1.190821,-1.34678,-1.043701,-0.23524
0.561429,-1.441997,0.769766,-0.518693,0.303184,0.616953,-1.176914,0.588368,-0.207018,-0.536096,0.289947,-1.345876,-1.043696,-0.270831
1.588846,0.736288,-0.978479,0.567177,-0.953251,1.219799,0.10153,0.025148,-1.166263,-1.181431,-0.799296,-1.344972,-1.04369,0.242809
-0.352469,0.110943,3.217309,0.124856,-0.574025,1.601328,-0.462408,0.79132,-1.136056,-1.556167,-0.402751,-1.344068,-1.043686,-0.197325
0.297775,0.534788,1.638249,0.580466,-1.272878,0.920531,0.145422,-0.682864,-1.528138,-1.417826,0.320065,-1.343164,-1.04368,-0.077698
1.702364,2.278806,0.916393,-0.004233,-0.52767,1.665569,0.063193,0.658846,-1.326548,-1.584671,-1.401642,-1.34226,-1.043673,-0.156002
-0.343576,0.341973,-0.493482,0.392527,-0.285301,0.113602,0.085417,-0.061081,-0.137356,-0.103592,0.853142,-1.341356,-1.043667,-0.254705
-0.959816,0.821404,5.337761,0.390629,-0.570052,1.433675,-0.903557,0.697619,-1.070709,-1.513372,-0.673807,-1.340452,-1.043663,-0.426632
0.758124,1.03159,1.502901,-1.993729,0.262127,1.6499,-1.026346,0.271923,-0.641021,-1.348656,-0.804315,-1.339547,-1.043656,-0.170878
-0.264584,1.260883,-0.042322,1.102519,-1.349253,0.372916,1.190513,1.568599,-1.469572,-1.10238,-0.824394,-1.338643,-1.04365,-0.504505
0.676517,1.450224,2.551848,0.831051,-0.627002,1.681237,-0.569084,1.108977,-1.303122,-1.735325,-2.124458,-1.337739,-1.043644,-0.409748
1.037473,-0.140932,1.435227,0.337474,-1.228731,1.586051,2.128372,-1.540112,-2.102699,-2.097062,-2.003989,-1.336835,-1.043637,-0.450982
-0.386472,0.713706,1.311158,-0.602221,-1.098937,1.522985,0.150978,0.613611,-1.625542,-1.751363,0.7397,-1.335931,-1.043631,-0.183078
2.988727,1.929655,1.040462,-0.21875,0.087745,1.666744,-1.037458,0.767491,-0.777263,-1.479319,-1.246036,-1.335027,-1.043625,-0.065436
-0.712902,-0.929562,1.356274,-0.114339,-0.124163,0.906037,-0.870221,0.821814,-0.486284,-0.736006,0.591121,-1.334123,-1.043618,-0.114225
2.479727,-1.435049,4.142187,-0.64968,2.334847,0.812418,-0.487966,1.061318,1.29658,-0.161361,-1.446818,-1.333219,-1.043612,-0.171212
0.028366,-0.648156,1.863829,-0.213054,-1.23447,1.642849,2.342835,-0.46208,-2.033653,-2.097214,-1.030195,-1.332315,-1.043606,-0.577433
-0.701916,-0.613415,0.149421,0.269133,0.059049,-0.786555,0.638798,0.144093,0.48714,0.950683,0.799432,-1.331411,-1.043599,0.045105
-0.264584,-0.484872,-0.719062,1.427141,0.380883,-0.964784,1.708335,-0.149411,1.151707,1.435635,-0.573416,-1.330507,-1.043591,-0.504856
-0.888148,-1.367303,0.555465,-0.46364,0.062139,1.364733,-1.128577,-0.141556,-0.515259,-1.004325,0.244772,-1.329603,-1.043584,0.111277
-0.70087,1.715995,0.352443,0.286218,-1.37221,1.272289,0.635076,0.743056,-1.955976,-1.940099,0.420456,-1.328699,-1.043578,0.06408
1.265555,-1.363829,3.905328,-1.663412,0.903147,0.631838,-1.658623,-1.889272,0.318841,-0.328586,0.199596,-1.327795,-1.04357,-0.048221
2.285648,1.062857,-1.012316,0.848137,-0.781076,1.476371,0.796479,-0.038464,-1.122493,-1.294688,-2.385475,-1.32689,-1.043563,-0.428812
0.139268,0.734551,0.747208,0.90319,-0.067213,0.741909,-0.596308,0.856144,-0.195921,-0.520894,-0.41279,-1.325986,-1.043555,-0.134907
0.814099,1.325155,0.656976,-0.418079,-0.717062,1.400379,0.041524,0.322813,-1.268599,-1.461913,-1.507053,-1.325082,-1.043548,-0.1785
-0.82642,1.226142,-0.222786,0.536803,-0.961639,0.820252,0.543012,-0.457294,-1.105232,-1.017247,0.289947,-1.324178,-1.04354,-0.179496
-0.228488,2.445564,1.491622,2.23395,0.244909,2.025945,0.013744,2.018932,-1.071942,-1.900269,-3.610247,-1.323274,-1.043534,-0.644306
-0.244182,-0.832286,0.645697,-0.501607,-0.219521,0.712139,-0.61131,0.892292,-0.075091,-0.203167,-0.237106,-1.32237,-1.043525,-0.136864
-0.204425,-0.347643,-0.922084,-1.462184,1.330052,1.275423,-0.605198,1.228123,0.626465,-0.611347,-0.156793,-1.321452,-1.043517,0.382489
0.661869,-0.747169,2.236036,0.403917,0.187076,1.025118,-1.734185,1.089792,-0.318601,-0.979242,-1.893559,-1.320562,-1.04351,-0.316515
-0.369209,0.675491,2.224757,0.204588,-0.676888,1.694164,-0.51908,0.884618,-1.261818,-1.721111,-1.030195,-1.319672,-1.043502,0.093876
-0.728595,-0.863553,1.412669,-0.712327,1.453224,1.138715,-0.89689,-0.092665,0.614752,-0.56422,-0.884628,-1.318811,-1.043494,0.127059
-0.519869,-1.648708,0.250932,-0.279497,0.847521,0.291048,0.294102,-0.16803,0.731883,0.483974,1.098096,-1.317807,-1.043485,-0.08313
-0.464941,1.373793,1.660807,0.16662,-0.769598,1.81912,0.460783,1.083734,-1.546016,-1.922617,-1.512073,-1.316946,-1.043477,-0.368739
0.706858,2.085991,1.266042,0.68108,-0.355054,1.372176,-1.033013,1.153202,-0.882682,-1.126703,-2.21983,-1.316085,-1.043468,-0.24759
0.048244,-0.750644,1.762318,1.256287,0.021082,1.392936,-0.227388,0.16974,-0.584921,-1.002045,-0.252164,-1.31508,-1.04346,-0.050174
-0.239997,0.34371,1.491622,0.863324,-1.01594,1.806194,2.070589,-1.054641,-1.926385,-2.10702,-1.617483,-1.314219,-1.043451,-0.583736
-0.938891,1.243512,0.49907,-0.23014,-1.149707,1.288741,0.433225,0.071595,-1.596567,-1.499918,-0.538279,-1.313358,-1.043443,-0.563782
0.10108,-0.979937,0.95023,0.100177,1.240433,0.783039,-1.444715,1.924019,0.411313,-0.377993,-1.230978,-1.312354,-1.043434,0.112273
0.019473,0.282913,4.142187,-0.349737,-0.591242,1.526902,-1.139133,1.60717,-1.030021,-1.565516,-1.77309,-1.311493,-1.043424,-0.191077
-0.122294,-0.616889,0.972788,0.726641,0.402515,1.199822,-0.732431,2.093651,0.071015,-0.609827,-2.952685,-1.310632,-1.043415,-0.072651
-1.065487,1.601349,2.393942,-0.737006,-0.325475,1.928016,-0.129046,2.34608,-1.239008,-1.929306,-1.702816,-1.30977,-1.043407,-0.276126
0.262725,1.055909,-0.51604,0.796881,-1.054349,0.702738,-0.405736,0.659452,-1.086121,-1.032449,0.104224,-1.308766,-1.043396,0.010381
-0.10817,1.154922,2.890218,-0.08966,-0.84818,1.737644,-0.156826,0.912688,-1.4332,-1.851774,-1.662659,-1.307905,-1.043388,-0.440979
