'Compactness Overall Standard Deviation','Fraction Of Low Energy Windows Overall Standard Deviation','Strongest Beat Overall Average','LPC Overall Average6','Method of Moments Overall Average1','Method of Moments Overall Average2','Method of Moments Overall Average3','Method of Moments Overall Average4','Area Method of Moments of MFCCs Overall Average2',Valance_Average
0.081472,0.665531,-0.078016,1.002351,0.680099,0.345634,0.100298,0.047953,-1.655243,0.132731
-0.280313,-0.315327,0.734091,0.467404,0.913129,0.691485,0.412829,0.377545,-1.656038,0.303415
0.483737,-0.667913,0.507537,1.062126,-0.343877,-0.273097,0.231561,-0.060142,-1.652842,0.040027
0.162431,-0.335729,0.734091,1.563147,-0.568276,-1.395023,-1.974076,-1.910926,-1.642289,-0.197798
-0.571259,-0.144788,0.883965,1.276993,0.136979,0.271903,0.570136,0.371272,-1.635812,-0.221443
-0.933044,-0.127525,0.883965,-1.528601,0.050055,0.043869,0.504505,0.248218,-1.638556,-0.068202
-0.563669,-0.430414,0.239158,0.796167,1.344666,1.116387,0.569094,0.764081,-1.642695,0.192569
0.26363,0.482961,0.748033,-1.113407,-0.359905,-0.216849,0.337821,0.145431,-1.643963,0.166549
0.944191,0.954819,-0.510211,0.144699,-0.128108,-0.28906,-0.518514,-0.160998,-1.643729,-0.077538
0.096652,0.552536,0.883965,1.341009,-1.660065,-1.53762,-1.579974,-1.581672,-1.643496,-0.325254
-0.793896,-0.611415,0.883965,-2.702497,0.423026,0.436087,0.740987,0.452826,-1.643671,-0.350494
0.425548,1.843607,-0.597347,1.019314,-0.881449,-0.317184,0.298234,0.328324,-1.642136,-0.237265
0.124482,1.463296,0.043974,-2.244086,1.38597,1.020613,0.240937,0.548374,-1.642709,0.180666
0.627945,0.422802,-0.855269,0.550604,0.406998,0.737852,0.764947,0.87121,-1.642185,0.156824
-0.733177,-0.471741,0.880479,-1.803446,0.353364,0.460411,0.615974,0.401191,-1.64041,-0.140782
-0.571259,1.051597,0.012605,-0.907223,-0.637322,0.420125,2.222385,2.13505,-1.640855,-0.306839
-0.52825,-0.098754,0.319324,-0.234571,1.470428,0.507538,-0.375792,-0.21215,-1.637489,0.177876
-0.45741,1.446556,0.870023,0.325034,1.152324,0.708207,0.247187,0.333632,-1.635576,0.032514
-0.925454,0.521672,0.824712,-0.28649,0.837918,1.055578,1.197282,1.014532,-1.635216,0.298769
-0.037436,-0.586305,0.040488,-0.691547,1.44022,1.794407,0.935798,1.549698,-1.637167,0.278057
-0.47006,-0.489527,0.883965,0.306859,-0.829664,-1.246041,-1.469963,-1.49481,-1.638323,-0.381111
-0.082975,0.19315,-2.298241,0.54596,0.138828,0.544023,0.773282,0.672393,-1.638723,0.160398
-0.933044,-0.30068,-0.210463,0.327861,-0.287161,-0.429681,-0.449757,-0.660936,-1.641679,-0.151625
0.511567,0.299867,0.340236,-0.12544,-0.568893,-0.023021,0.696191,0.486605,-1.645322,-0.027241
-0.052616,-1.018929,0.378576,0.789301,0.744829,1.244846,0.730569,1.34509,-1.64743,-0.053354
-1.016533,-0.511499,0.883965,0.010407,0.347815,0.075794,0.210725,0.015139,-1.644412,-0.027547
-0.604149,1.859301,-0.423075,0.633401,0.75346,0.816143,0.901419,0.70762,-1.639216,0.282011
0.886002,-0.141127,-0.367308,1.255588,-0.726712,-0.488209,0.040917,-0.199603,-1.63506,0.008975
1.245257,-1.127216,0.287955,0.007579,0.842233,1.340621,1.416054,1.429539,-1.633355,0.302671
-0.545959,0.701627,0.883965,-1.025157,0.311443,-0.469967,-0.744578,-0.927312,-1.6287,-0.47102
-0.920394,-0.096138,0.883965,-1.470038,0.15424,-0.012379,0.206558,-0.011403,-1.624978,-0.062754
0.207971,0.557244,-1.353687,0.007579,-0.912889,-0.945037,-0.762289,-0.732838,-1.620711,-0.330006
0.195321,-1.069149,0.866537,-0.51202,-0.312436,-0.945797,-1.533303,-1.548857,-1.615307,0.12742
-0.136105,-0.291263,0.883965,1.193389,-1.079339,-1.056013,-1.032107,-1.157496,-1.614613,-0.215939
-0.659808,-0.503129,0.880479,0.421967,0.209107,-0.069387,-0.208067,-0.316384,-1.614621,-0.383595
0.23833,2.612077,0.883965,0.011618,0.50995,0.313709,0.066961,0.080285,-1.613434,0.088525
-0.437171,-0.344099,0.779401,-1.317773,0.027245,-0.129436,-0.003879,-0.013333,-1.613936,-0.209003
-0.707877,0.077016,0.883965,0.683281,0.059918,-0.390915,-0.552893,-0.666727,-1.614864,-0.091311
-0.305612,2.336914,0.598159,-1.232553,1.596807,0.807022,0.101339,0.307091,-1.612748,-0.126022
0.600116,0.111542,0.674838,-0.119867,-0.743973,-0.808216,-0.653944,-0.754554,-1.609301,0.020692
-0.244893,-0.727549,0.859567,-0.720425,-0.79884,-1.023328,-1.007105,-1.098141,-1.610489,-0.362309
-1.092432,0.057138,0.423887,-0.292387,-0.375317,-1.60641,-2.145031,-2.03123,-1.608239,0.010263
-0.434641,-0.661112,0.267042,0.472048,1.060468,0.509058,0.261772,0.164251,-1.602776,0.280287
-0.841965,-0.876116,0.075343,-0.466017,-0.072625,-0.240413,-0.334121,-0.526783,-1.601639,-0.123326
1.06563,-0.047487,-0.276686,0.042314,-0.211333,-0.191005,0.073212,-0.176923,-1.601839,0.262854
-0.209474,0.720982,0.005634,-0.680239,1.382271,0.561506,0.083629,0.088006,-1.600635,0.534416
-0.328382,-0.348807,0.552848,-0.522319,0.045739,0.555425,1.133734,0.904025,-1.598485,-0.178596
0.359769,-0.819619,0.838654,0.886032,-0.60958,-0.824939,-0.722701,-0.811979,-1.592947,0.151426
1.262967,-1.215624,0.8038,-1.004155,-0.023923,0.2529,0.585763,0.434971,-1.590521,-0.001783
-0.45488,0.260633,0.842139,-0.1794,0.106771,-1.217157,-1.791662,-1.654539,-1.590688,-0.199364
1.02262,1.062583,0.692266,0.14167,-0.097284,-0.202407,0.043,-0.089096,-1.588622,-0.082831
0.423018,0.351657,-2.441144,-0.491018,1.130747,1.162754,1.187906,1.360532,-1.582925,-0.076974
-0.057676,-0.389088,0.880479,-1.425611,-0.010977,-0.114994,0.164887,-0.050973,-1.57676,-0.023281
0.923951,-0.406874,0.685295,-1.345843,0.890319,0.648919,0.039875,0.062913,-1.575924,0.290861
-0.849555,0.548351,0.152022,-1.325043,-0.73411,-1.127463,-0.876883,-0.930208,-1.575731,-0.386239
0.035933,-0.203902,-0.158182,-0.156358,-0.753837,-0.662275,-0.384126,-0.572144,-1.574945,-0.132393
-0.606678,-0.548117,0.608615,1.027594,-0.555947,-0.529255,0.006538,-0.202016,-1.573364,0.325636
0.498917,-1.150757,0.061401,1.107159,-1.544783,-1.98867,-2.237436,-2.092661,-1.567584,0.129758
0.395188,-0.394319,0.883965,0.058267,-1.765483,-1.999692,-2.252646,-2.10014,-1.560256,-0.231514
1.379345,-0.706101,-3.388835,-0.979114,-0.967756,-0.645552,0.035708,-0.03167,-1.556157,0.294054
1.371756,2.04658,0.563304,-0.250605,-1.325315,-1.043091,-1.016481,-0.959644,-1.557194,-0.030708
0.99732,1.309497,-2.305212,0.098858,-0.438199,-0.206208,-0.028882,-0.094404,-1.558532,-0.028092
-0.672458,0.434833,0.772431,1.368676,-1.005362,-1.081097,-0.815419,-0.960609,-1.556851,-0.593149
0.787333,0.799974,-0.004822,-0.697808,-0.054747,-0.35519,-0.491428,-0.530643,-1.555613,0.160223
-0.199354,0.793697,0.145052,1.877572,-0.126875,-0.584743,-0.930014,-0.631982,-1.553605,-0.290413
-0.171524,-1.519559,-0.869211,-0.245334,0.991422,1.469079,1.001429,1.299246,-1.552769,0.292934
1.369226,-0.927906,-0.119842,2.285497,-1.097834,-1.47149,-1.59258,-1.614969,-1.551681,0.216781
-0.566199,0.528473,0.768945,0.283838,-1.533686,-1.721795,-1.879692,-1.830772,-1.549255,-0.430671
-0.123455,0.441111,0.409945,-0.9672,-1.392512,-1.560043,-1.806039,-1.81229,-1.547917,-0.10313
0.807573,-0.156297,0.120654,0.966001,-1.004129,-1.452715,-1.656961,-1.714232,-1.546662,0.140205
0.693724,0.035689,-0.437017,0.92642,-0.69034,-1.217157,-1.550909,-1.623655,-1.542981,0.019513
-0.735707,0.935987,0.664382,1.251347,-0.182359,-0.460085,-0.301826,-0.520509,-1.540472,0.005318
-0.156344,0.873735,0.863052,-0.185357,-1.312369,-1.615151,-1.652898,-1.611591,-1.537042,0.083928
-0.234773,0.279465,-3.715072,-0.015038,-1.800623,-2.015426,-2.140864,-1.974191,-1.53562,-0.222997
0.648185,-0.271385,0.883965,-0.840783,1.035192,0.695285,0.429497,0.409395,-1.530182,0.009061
0.089062,0.122005,0.643469,-0.92984,-1.480052,-1.504631,-1.419021,-1.424838,-1.525414,-0.32754
1.144059,0.039874,0.873508,-0.372114,0.991422,-0.606027,-0.961267,-1.091867,-1.520562,0.038048
0.774683,-0.24209,-0.008308,0.223255,-1.396211,-1.327373,-1.103989,-1.139159,-1.516045,-0.065904
0.686135,-0.528762,0.430858,-0.211428,-0.335863,-0.282979,0.295109,0.058569,-1.513536,-0.021208
0.139662,0.856995,0.36812,0.695801,-1.644036,-2.004633,-2.240978,-2.084216,-1.508014,0.039975
-0.629448,-0.097707,0.883965,-0.218173,-0.893778,-0.989883,-0.784166,-0.918626,-1.505003,-0.096399
0.686135,-0.507314,-0.165152,-0.680643,-1.06701,-0.865985,-0.271615,-0.425444,-1.503079,0.108451
-0.662338,-0.057427,0.535421,0.205887,0.844083,0.568347,0.479502,0.358243,-1.499315,0.379438
0.893592,0.113112,0.45177,2.24107,-0.034403,-0.675957,-0.971684,-1.028169,-1.49279,0.306527
0.013163,0.888905,-1.552357,0.480732,-1.4332,-1.904754,-2.050646,-1.913194,-1.489109,-0.244371
-1.28724,-0.785616,-0.193036,-1.061103,-1.761168,-1.638791,-1.542887,-1.512665,-1.486097,-0.327592
-0.960874,0.561429,0.671353,0.588368,-0.207018,-0.536096,-0.49247,-0.70871,-1.483504,-0.251706
-1.117732,1.588846,-0.179094,0.025148,-1.166263,-1.181431,-0.944598,-1.037337,-1.484006,-0.300543
0.934071,-0.352469,-0.280172,0.79132,-1.136056,-1.556167,-1.740616,-1.766446,-1.48066,-0.018891
0.172551,0.297775,0.552848,-0.682864,-1.528138,-1.417826,-1.392247,-1.473577,-1.479907,-0.143536
-0.346092,1.702364,0.828198,0.658846,-1.326548,-1.584671,-1.619562,-1.599044,-1.481497,-0.369361
0.362299,-0.343576,-0.154696,-0.061081,-0.137356,-0.103592,-0.07472,-0.15569,-1.483504,-0.125115
1.599453,-0.959816,0.200819,0.697619,-1.070709,-1.513372,-1.76541,-1.799888,-1.485846,-0.200936
0.402778,0.758124,-0.050133,0.271923,-0.641021,-1.348656,-1.444648,-1.451861,-1.482333,-0.211836
0.496387,-0.264584,-1.590697,1.568599,-1.469572,-1.10238,-0.837296,-0.79895,-1.48158,-0.391707
0.812633,0.676517,0.197333,1.108977,-1.303122,-1.735325,-1.956783,-1.890369,-1.482249,-0.171957
-0.948224,1.037473,-0.349881,-1.540112,-2.102699,-2.097062,-2.288795,-2.090827,-1.479322,-0.185794
-0.452351,-0.386472,0.817741,0.613611,-1.625542,-1.751363,-1.909695,-1.853211,-1.477314,-0.016504
-0.411871,2.988727,0.883965,0.767491,-0.777263,-1.479319,-1.636438,-1.608695,-1.474888,-0.468646
-0.444761,-0.712902,0.883965,0.821814,-0.486284,-0.736006,-0.586229,-0.78013,-1.47288,-0.30778
0.815163,2.479727,0.183391,1.061318,1.29658,-0.161361,-0.650819,-0.715466,-1.470622,0.052961
-0.290433,0.028366,0.622557,-0.46208,-2.033653,-2.097214,-2.316163,-2.125234,-1.469032,-0.264115
-0.186704,-0.701916,0.364634,0.144093,0.48714,0.950683,1.337921,1.238925,-1.469702,0.146111
1.564033,-0.264584,0.030032,-0.149411,1.151707,1.435635,1.56086,1.515436,-1.469116,-0.132401
-0.821726,-0.888148,0.444799,-0.141556,-0.515259,-1.004325,-0.958141,-1.096693,-1.462758,0.272099
0.544456,-0.70087,0.148537,0.743056,-1.955976,-1.940099,-2.117007,-1.969751,-1.460249,0.24146
0.142192,1.265555,0.883965,-1.889272,0.318841,-0.328586,-0.777915,-0.840451,-1.460583,-0.448294
2.019427,2.285648,-0.325483,-0.038464,-1.122493,-1.294688,-1.099822,-1.185003,-1.455564,-0.196833
-0.022256,0.139268,0.549363,0.856144,-0.195921,-0.520894,-0.673738,-0.61461,-1.448788,-0.15515
-0.295493,0.814099,-0.252288,0.322813,-1.268599,-1.461913,-1.51153,-1.484193,-1.444773,-0.176131
0.25604,-0.82642,-0.715852,-0.457294,-1.105232,-1.017247,-0.732077,-0.804258,-1.446111,-0.182694
0.691194,-0.228488,-2.36795,2.018932,-1.071942,-1.900269,-2.061793,-1.917055,-1.444187,-0.250724
-0.978584,-0.244182,0.671353,0.892292,-0.075091,-0.203167,0.158637,-0.120462,-1.437663,-0.201807
-0.786306,-0.204425,0.629528,1.228123,0.626465,-0.611347,-0.702908,-0.863614,-1.427206,0.355193
-0.588969,0.661869,0.685295,1.089792,-0.318601,-0.979242,-1.221709,-1.334598,-1.413571,-0.288457
0.496387,-0.369209,-0.332454,0.884618,-1.261818,-1.721111,-1.963034,-1.917296,-1.402445,0.316622
-0.366332,-0.728595,0.883965,-0.092665,0.614752,-0.56422,-0.765414,-0.920074,-1.395167,0.250505
-1.267,-0.519869,0.870023,-0.16803,0.731883,0.483974,0.798284,0.480332,-1.388977,-0.394612
-0.401751,-0.464941,0.521479,1.083734,-1.546016,-1.922617,-2.13378,-2.007246,-1.385045,-0.101627
-0.543429,0.706858,0.598159,1.153202,-0.882682,-1.126703,-0.955016,-1.052297,-1.376094,-0.354821
-0.672458,0.048244,-2.162309,0.16974,-0.584921,-1.002045,-0.81021,-0.974604,-1.369318,-0.046395
-0.563669,-0.239997,-0.879667,-1.054641,-1.926385,-2.10702,-2.327112,-2.129509,-1.364215,-0.361531
-1.100022,-0.938891,0.876994,0.071595,-1.596567,-1.499918,-1.34568,-1.359209,-1.36204,-0.341699
-0.384041,0.10108,0.378576,1.924019,0.411313,-0.377993,-0.661237,-0.781095,-1.359782,0.073496
1.508374,0.019473,-0.729794,1.60717,-1.030021,-1.565516,-1.84323,-1.83912,-1.354763,0.19413
-0.125985,-0.122294,-0.008308,2.093651,0.071015,-0.609827,-0.44559,-0.651767,-1.342884,-0.002842
0.794923,-1.065487,-0.043162,2.34608,-1.239008,-1.929306,-2.184514,-2.037648,-1.333849,0.080045
-0.768596,0.262725,-0.189551,0.659452,-1.086121,-1.032449,-0.993562,-1.151223,-1.334017,-0.443119
0.046053,-0.10817,-2.071687,0.912688,-1.4332,-1.851774,-2.102631,-2.003965,-1.331173,-0.096377
0.458438,4.840587,0.09277,1.14149,-1.185374,-1.421627,-1.242545,-1.253044,-1.323644,-0.297643
1.295857,-0.188731,-1.039998,-0.095614,-0.818568,-0.728405,-0.394543,-0.53933,-1.319043,0.080533
1.128879,-1.205162,-2.448115,0.026764,0.00012,0.290906,0.639935,0.657434,-1.317872,0.25499
-0.184174,0.287835,0.831683,1.129575,-1.793225,-1.81088,-1.921779,-1.842161,-1.314944,-0.096032
-0.378981,-0.559103,0.828198,1.245692,-0.504779,-0.741327,-0.668529,-0.855893,-1.31302,0.296063
-0.793896,0.900414,0.667867,0.253142,-1.303122,-1.349416,-1.190456,-1.253527,-1.309841,0.069901
0.751914,-0.677329,-0.112871,0.384405,-0.103449,-0.384074,-0.07472,-0.340995,-1.30432,0.183973
-0.50801,1.35344,0.730605,1.067579,-1.351208,-1.663495,-1.729989,-1.692662,-1.299301,-0.522007
1.80944,0.119389,0.476168,0.303224,-1.213732,-1.534656,-1.509447,-1.499153,-1.291521,-0.079022
-0.323322,1.330945,0.145052,0.769511,-1.06701,-1.163189,-1.097739,-1.189346,-1.287673,-0.421598
-0.356212,-1.013175,-0.715852,2.610625,-0.50108,-0.927554,-0.84563,-0.994389,-1.283156,0.025445
1.01503,0.678609,-0.335939,1.411084,0.906347,-0.080029,-0.397669,-0.316867,-1.278639,0.087218
0.329409,-0.87507,-1.475677,0.085529,-1.531837,-1.879518,-2.048667,-1.922074,-1.277551,-0.119424
-0.685107,-0.20861,0.462227,0.820198,-1.060845,-1.366899,-1.208166,-1.231329,-1.274874,-0.140053
-0.745827,0.649314,-1.238668,-0.015442,-1.490532,-1.53952,-1.510801,-1.502531,-1.27295,-0.314724
-0.125985,1.000331,0.856081,-0.952054,-0.263734,-0.564981,-0.355998,-0.530643,-1.270106,-0.224583
-0.098155,1.740552,0.660897,0.390867,-0.653967,-0.402317,0.038833,-0.070758,-1.264418,-0.095964
-0.806546,-0.629202,-3.058067,-0.897126,-1.991732,-2.102155,-2.327789,-2.133061,-1.261406,-0.305469
-0.664868,-0.660589,-0.600832,0.137631,0.833603,0.328911,0.650353,0.37465,-1.257224,0.149196
0.397718,-0.309573,0.626042,-0.425144,-1.480669,-1.714422,-1.837917,-1.758966,-1.251786,-0.070786
-0.290433,1.121696,-0.945891,0.239612,-0.470256,-0.388635,-0.059093,-0.107433,-1.250699,0.011316
-0.49789,2.414859,0.322809,-1.894118,-0.039952,-0.56194,-0.438298,-0.659971,-1.247687,-0.303951
-0.368862,3.08812,-1.120163,0.981551,-0.351275,-0.029862,0.504505,0.228433,-1.244006,-0.174626
0.481207,-0.552826,-1.510532,-2.021948,0.170885,-0.011619,-0.183064,-0.372844,-1.243505,0.071816
0.25098,0.733014,0.225217,0.055238,-0.242157,-0.194046,-0.096597,-0.133009,-1.242082,0.198221
-0.816666,0.843917,0.76546,0.736998,0.021697,-0.576382,-0.749787,-0.90801,-1.240409,-0.34348
-0.844495,-0.461279,0.064887,-0.937514,-0.387647,0.167768,1.080604,0.773249,-1.234972,-0.005965
1.569093,2.915489,-0.54158,1.423402,-0.649035,-1.140385,-1.008146,-1.099106,-1.228782,-0.079467
0.111832,0.319746,0.287955,1.158453,0.882305,-0.809737,-1.209208,-1.31433,-1.220165,-0.167162
-0.839435,3.313064,0.845625,0.828276,-1.250721,-1.252882,-1.067527,-1.14495,-1.217907,-0.371316
0.342059,0.975221,0.842139,0.559894,0.607354,-0.310343,-0.817502,-0.808119,-1.21615,-0.225081
-0.839435,1.033811,0.538906,1.05425,-1.881382,-2.028348,-2.260667,-2.088704,-1.208956,-0.02668
-0.551019,-0.321605,-2.754833,-0.608953,-1.943646,-2.105652,-2.301026,-2.103711,-1.202431,-0.387349
1.452714,0.108404,-0.262745,-1.871299,0.977243,0.857949,0.508672,0.493844,-1.198667,0.370844
-1.089902,-0.264061,0.542392,0.982561,-0.86542,-1.177631,-1.236294,-1.363069,-1.192727,-0.088799
-0.51813,0.045629,0.883965,1.032238,-0.364837,0.027147,0.544092,0.445587,-1.189716,-0.075708
-1.2923,0.420186,0.20779,-0.451982,-1.007827,-1.160908,-1.132117,-1.203823,-1.190469,-0.194541
0.046053,1.201211,0.870023,-0.623089,0.853947,-0.564981,-1.075862,-1.085594,-1.186955,-0.072148
-0.50295,-0.648557,0.570275,-2.637875,-0.207018,-0.590824,-0.434131,-0.616058,-1.188461,0.392655
-1.089902,1.093447,0.880479,0.151161,-1.005978,-0.507212,0.235728,-0.171614,-1.192644,-0.265582
-0.829316,-0.860946,-1.475677,0.523948,0.075947,0.287105,0.859749,0.518937,-1.19348,-0.030783
3.104783,-0.513068,-0.032706,1.841222,-0.9881,-1.389702,-1.483402,-1.41953,-1.188963,-0.316167
-0.573789,0.995623,-0.091958,0.750124,-0.06831,-0.650113,-0.778957,-0.918144,-1.185868,-0.198754
-0.614268,0.928663,0.880479,0.735382,0.540774,0.132802,-0.058052,-0.239656,-1.18202,-0.462197
-0.227183,-1.037762,0.6121,-0.538273,-0.886381,-1.814301,-2.258792,-2.102071,-1.177586,0.545147
-0.682578,0.035689,0.699236,-0.705885,0.863194,0.5235,0.485753,0.34087,-1.173989,0.293142
-0.47259,0.557768,0.284469,-1.158036,-0.046116,0.597991,1.646285,1.80208,-1.168552,-0.150641
-0.796426,1.352917,0.120654,0.160854,0.501319,0.392001,0.655561,0.40843,-1.162361,-0.212641
0.086532,-0.072074,-0.363822,0.029793,-1.1003,-1.357777,-1.223793,-1.24098,-1.158179,0.416251
0.29905,0.163855,0.179906,-0.176108,-0.142287,-0.464646,-0.579979,-0.551394,-1.15592,0.145407
0.134602,0.302483,-0.649628,1.470657,1.32987,0.465731,0.228435,0.083663,-1.150817,0.219008
0.898652,0.486623,-0.321997,2.923637,-1.373401,-1.009646,-0.589355,-0.737182,-1.1463,0.060421
-0.252483,-0.672621,-1.053939,0.653191,-0.309354,0.451289,1.3723,1.174744,-1.146551,0.060602
0.779743,-0.956678,-1.325804,0.986195,-1.204485,-1.703476,-1.988557,-1.961161,-1.1463,0.365116
0.192791,-1.215624,0.883965,-0.039069,-0.225512,0.002823,0.511797,0.37079,-1.145129,0.305691
-0.088035,-1.138202,-0.179094,1.289716,0.076563,-0.117274,0.212809,-0.109846,-1.14195,0.472338
0.832873,-1.35896,-1.304891,-0.790298,1.550571,1.158194,0.099256,0.738505,-1.138186,0.12541
-0.578849,-0.493712,-1.109706,1.235191,-0.255104,0.014225,0.269064,0.071599,-1.138186,0.169154
-0.48018,-1.169589,-0.775104,0.135005,0.842233,0.464211,0.169054,0.134332,-1.139022,0.077215
-0.186704,-0.429368,0.845625,0.890878,-0.501696,-0.169722,0.570136,0.309021,-1.136178,-0.004154
-0.168994,0.856472,0.831683,-0.820185,0.416245,-0.526975,-0.779999,-0.757449,-1.131494,-0.023978
-0.766066,0.98673,0.870023,0.949644,-1.182908,-1.857627,-2.222851,-2.074999,-1.124969,-0.327146
0.200381,-0.957724,-1.792852,0.992658,-0.879599,-1.705073,-2.074503,-1.986834,-1.117356,0.366039
-0.690167,0.680179,0.835168,-0.062899,0.386037,0.005104,-0.109098,-0.206359,-1.112923,-0.079275
0.205441,1.31996,0.660897,0.859173,-1.345659,-1.385902,-1.523927,-1.547409,-1.111082,0.101169
0.655775,0.516441,0.667867,1.792756,-0.77788,-0.585504,-0.39246,-0.534986,-1.107653,0.13143
0.445788,-0.820142,0.876994,1.399775,-1.314219,-1.752808,-1.962096,-1.902578,-1.100793,0.46914
0.812633,-0.144788,-0.555522,1.726317,-1.712466,-1.049932,-0.337246,-0.409519,-1.101797,0.219591
0.438198,-0.74952,-0.363822,0.730132,-1.320384,-1.817569,-2.081275,-2.003145,-1.105561,0.320206
0.562166,-0.350899,0.36812,0.662683,-1.581772,-1.62108,-1.637063,-1.62269,-1.101964,-0.08419
-0.783776,-0.120725,0.880479,-0.648938,0.778119,0.406443,0.33678,0.226502,-1.098367,0.565652
